"","OCC1","OCC2","INC1","INC2","FCOMFORT","REGION","ZIP","AGE1","AGE2","EDUC1","EDUC2","RELAT","HAPPY","GENDER1","GENDER2","Date","L","D","R","MSTAT"
"25","military                              ","childcare                      ",40000,10000,"Comfortable","Pac Coast/Islands",99703,39,35,"Some Grad Sch","Coll Grad","Married","Happy","Male","Female",13381286400,32,28,33,"Married"
"26","student                               ","student                        ",7000,7000,"Struggling","Mid West",83705,36,36,"Some Grad Sch","Coll Grad","Married","Happy","Male","Female",13329964800,15,29,51,"Married"
"27","therapist                             ","teacher                        ",35000,65000,"Comfortable","Pac Coast/Islands",95843,33,35,"MA/MS","MA/MS","Married","Happy","Male","Female",13381804800,39,30,29,"Married"
"28","Operations Supervisor                 ","Teacher                        ",26000,34000,"Struggling","S East",32177,26,25,"Coll Grad","Coll Grad","Married","Very happy","Male","Female",13384656000,22,30,41,"Married"
"29","Editor                                ","Editor                         ",55000,60000,"Comfortable","New England",1810,44,41,"Some Grad Sch","Coll Grad","Dating one person","Happy","Male","Female",13322534400,31,34,39,"Single"
"30","Mortgage Consultant                   ","marketing Rep                  ",60000,15000,"Struggling","Mid West",85043,43,40,"Some college","Some college","Married","Happy","Male","Female",13365216000,25,27,32,"Married"
"31","Political Staffer                     ","Customer Service               ",35000,20000,"Comfortable","Mid West",80233,25,24,"Coll Grad","HS Grad","Married","Very happy","Male","Female",13386297600,28,16,41,"Married"
"32","sales                                 ","social work                    ",95000,25000,"Comfortable","Mid Central",63017,44,42,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13370140800,42,31,24,"Married"
"33","Manager                               ","Housewife                      ",80000,0,"Struggling","Mid Central",60013,63,58,"Coll Grad","Some college","Married","Unhappy","Male","Female",13371177600,28,29,29,"Married"
"34","Hotel Developer                       ","Marketing Manager              ",55000,60000,"Struggling","N. East",12308,32,30,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13362451200,36,29,50,"Married"
"35","Solidier                              ","Nurse                          ",81000,67000,"Comfortable","S East",36305,44,45,"MA/MS","Coll Grad","Married","Happy","Male","Female",13357612800,23,28,25,"Married"
"36","counselor                             ","na                             ",55000,11111,"Comfortable","Great Lakes",42223,45,31,"Some Grad Sch","Coll Grad","Dating one person","Happy","Male","Female",13378780800,28,28,41,"Single"
"37","State Worker                          ","Correction Officer             ",54000,52000,"Struggling","New England",8046,42,44,"Some college","HS Grad","Married","Mixed","Male","Female",13366684800,36,24,44,"Married"
"38","operations supervisor                 ","law student                    ",45000,0,"Comfortable","S East",30033,30,24,"Coll Grad","Some Grad Sch","Long-term committed","Happy","Male","Female",13382928000,30,32,44,"Single"
"39","Teacher                               ","Teacher                        ",34000,35000,"Comfortable","N. East",12025,29,28,"Some Grad Sch","MA/MS","Married","Mixed","Male","Female",13368672000,46,34,41,"Married"
"40","Sales                                 ","Housewife                      ",125000,0,"Struggling","Great Lakes",48367,38,32,"Some college","Coll Grad","Married","Mixed","Male","Female",13376966400,37,35,51,"Married"
"41","Product Manager                       ","Translator                     ",81500,40000,"Struggling","N. East",18970,44,43,"Coll Grad","Some Grad Sch","Married","Happy","Male","Female",13339555200,18,29,32,"Married"
"42","Engineer                              ","Home maker                     ",90000,3000,"Comfortable","Mid Atlantic",23321,38,37,"Coll Grad","HS Grad","Married","Very happy","Male","Female",13372041600,33,22,26,"Married"
"43","Family Therapist                      ","Apartment Manager              ",30000,1000,"Struggling","Pac Coast/Islands",98391,30,31,"MA/MS","Some college","Married","Happy","Male","Female",13374460800,28,27,33,"Married"
"44","manager                               ","manager                        ",60000,60000,"Struggling","N. East",10003,36,36,"Some college","Coll Grad","Married","Happy","Male","Female",13359254400,36,26,35,"Married"
"45","electronics tech                      ","teacher                        ",70000,63000,"Comfortable","Pac Coast/Islands",93312,48,53,"Some college","MA/MS","Married","Mixed","Male","Female",13359772800,27,29,38,"Married"
"46","teacher                               ","teacher                        ",30000,25000,"Comfortable","N. East",10000,27,32,"Coll Grad","HS Grad","Long-term committed","Happy","Male","Female",13358736000,33,32,41,"Single"
"47","Law Enforcement/Military              ","secritary                      ",25000,24000,"Struggling","Pac Coast/Islands",97266,24,22,"Some college","Some college","Dating several people","Unhappy","Male","Female",13380854400,33,33,29,"Single"
"48","Business Development                  ","IT Manager                     ",40000,85000,"Comfortable","S East",30038,47,43,"Some college","Coll Grad","Married","Very happy","Male","Female",13358131200,34,24,50,"Married"
"49","computer tech                         ","computer tech                  ",35000,45000,"Comfortable","Great Lakes",46060,28,36,"Coll Grad","Coll Grad","Long-term committed","Very happy","Male","Female",13386729600,25,31,21,"Single"
"50","operator                              ","housewife                      ",30000,0,"Comfortable","Great Lakes",40165,30,27,"Some college","HS Grad","Married","Happy","Male","Female",13358390400,27,24,28,"Married"
"51","dancer                                ","docter                         ",50000,50000,"Comfortable","N Central",56589,25,24,"Coll Grad","Doctorate","Long-term committed","Very happy","Male","Female",13314412800,34,37,31,"Single"
"52","Manager                               ","Literacy Specialist            ",35000,15000,"Struggling","Pac Coast/Islands",91786,53,29,"HS Grad","Some college","Long-term committed","Mixed","Male","Female",13341888000,26,28,32,"Single"
"53","Archery Bow Tech                      ","Banker                         ",6000,11000,"Comfortable","Mid Central",67203,21,21,"Some college","Coll Grad","Long-term committed","Very happy","Male","Female",13364092800,25,35,40,"Single"
"54","IT                                    ","Banking                        ",85000,62000,"Comfortable","S East",32218,33,33,"Some college","MA/MS","Married","Happy","Male","Female",13365129600,23,17,41,"Married"
"55","retail manager                        ","disabled                       ",40000,11000,"Struggling","Mid Central",61104,42,36,"Coll Grad","HS Grad","Married","Happy","Male","Female",13386902400,51,56,41,"Married"
"56","Photographer                          ","LPN                            ",20000,30000,"Struggling","N Central",51358,22,23,"Coll Grad","Coll Grad","Long-term committed","Very happy","Male","Female",13311907200,24,27,30,"Single"
"57","Software Engineer                     ","Housewife                      ",90000,7200,"Comfortable","Pac Coast/Islands",95014,28,28,"MA/MS","MA/MS","Married","Happy","Male","Female",13382323200,39,18,42,"Married"
"58","admin.                                ","office coordinator             ",28000,30000,"Struggling","Pac Coast/Islands",91030,22,25,"Some college","Some college","Long-term committed","Happy","Male","Female",13371004800,45,33,44,"Single"
"59","Military                              ","student                        ",53000,14000,"Comfortable","Pac Coast/Islands",92054,29,26,"Some college","Some college","Married","Very happy","Male","Female",13372905600,34,25,44,"Married"
"60","self-employed                         ","lawyer                         ",125000,160000,"Struggling","Mid Central",60604,38,45,"MA/MS","MA/MS","Married","Very unhappy","Male","Female",13363056000,36,15,56,"Married"
"61","Marriage and Family Therapist Intern  ","Housewife                      ",50000,0,"Comfortable","Pac Coast/Islands",90620,27,28,"MA/MS","HS Grad","Married","Very happy","Male","Female",13303699200,25,26,44,"Married"
"62","retired                               ","food server                    ",25000,8000,"Comfortable","N. East",11218,56,54,"Coll Grad","HS Grad","Married","Mixed","Male","Female",13371868800,19,37,29,"Married"
"63","Business Owner                        ","Retired                        ",250000,0,"Comfortable","Pac Coast/Islands",98332,42,47,"HS Grad","Some college","Married","Mixed","Male","Female",13342752000,29,20,48,"Married"
"64","Engineering Manager                   ","Administrative Assistant       ",99000,30100,"Comfortable","Mid West",85365,35,33,"HS Grad","HS Grad","Long-term committed","Happy","Male","Female",13370832000,39,25,46,"Single"
"65","Consultant                            ","Marketing                      ",125000,120000,"Comfortable","Pac Coast/Islands",92130,35,32,"MA/MS","MA/MS","Married","Happy","Male","Female",13361068800,26,29,40,"Married"
"66","construction                          ","special ed teacher             ",35000,37000,"Struggling","Pac Coast/Islands",95207,30,26,"HS Grad","Some Grad Sch","Long-term committed","Very happy","Male","Female",13383532800,27,35,33,"Single"
"67","designer                              ","planner                        ",40000,0,"Struggling","New England",2143,23,23,"Coll Grad","Some Grad Sch","Dating one person","Mixed","Male","Female",13358131200,30,30,51,"Single"
"68","Psychologist                          ","Dental Hygienist               ",1e+05,10000,"Struggling","Pac Coast/Islands",92677,47,51,"Doctorate","Coll Grad","Married","Very happy","Male","Female",13294972800,27,22,45,"Married"
"69","military                              ","military                       ",30000,30000,"Struggling","N Central",54902,22,24,"HS Grad","Coll Grad","Long-term committed","Happy","Male","Female",13358995200,36,36,38,"Single"
"70","Trucking Executive                    ","Housewife                      ",250000,0,"Comfortable","Great Lakes",49120,49,47,"Coll Grad","Some college","Married","Very happy","Male","Female",13366944000,36,20,49,"Married"
"71","Construction                          ","Human Reasources               ",85000,55000,"Comfortable","S East",33440,39,37,"Some Grad Sch","MA/MS","Married","Happy","Male","Female",13368585600,45,28,37,"Married"
"72","Delivery Driver                       ","Retail                         ",15000,11000,"Struggling","Mid West",84790,23,20,"Some college","Some college","Dating several people","Mixed","Male","Female",13382755200,31,22,42,"Single"
"73","Firefighter                           ","911 Dispatcher                 ",96000,60000,"Struggling","S East",32514,34,45,"HS Grad","Some college","Married","Very unhappy","Male","Female",13370486400,34,32,38,"Married"
"74","clerk                                 ","clerk                          ",13000,5000,"Struggling","N Central",54873,22,21,"Some college","Some college","Dating one person","Happy","Male","Female",13373596800,38,35,47,"Single"
"75","Executive                             ","housewife                      ",120000,0,"Comfortable","Pac Coast/Islands",92677,59,60,"Coll Grad","Some college","Married","Very happy","Male","Female",13365388800,36,25,46,"Married"
"76","Student                               ","Student                        ",0,0,"Comfortable","S East",30092,21,20,"Some college","Some college","Long-term committed","Very happy","Male","Female",13363660800,48,23,50,"Single"
"77","Student / Entertainment Industry      ","Student                        ",25000,0,"Comfortable","S East",30306,21,21,"Some college","Some college","Dating one person","Mixed","Male","Female",13350355200,25,17,36,"Single"
"78","Teacher                               ","Massage Therapist              ",45000,25000,"Struggling","Pac Coast/Islands",99801,37,41,"MA/MS","Coll Grad","Married","Happy","Male","Female",13384569600,36,28,37,"Married"
"79","Social Services                       ","Social Services                ",26000,20000,"Struggling","S Central",71913,46,49,"MA/MS","Coll Grad","Married","Very happy","Male","Female",13360291200,30,26,19,"Married"
"80","waiter/server                         ","full time student              ",28000,0,"Comfortable","Pac Coast/Islands",95012,23,23,"Some college","Some college","Long-term committed","Mixed","Male","Female",13383446400,25,29,41,"Single"
"81","teacher                               ","admisnistrator                 ",80000,50000,"Comfortable","S Central",79413,42,37,"Some Grad Sch","Coll Grad","Married","Very happy","Male","Female",13343356800,34,27,40,"Married"
