"","OCC1","OCC2","INC1","INC2","FCOMFORT","REGION","ZIP","AGE1","AGE2","EDUC1","EDUC2","RELAT","HAPPY","GENDER1","GENDER2","Date","L","D","R","MSTAT"
"152","Student                               ","Secretary                      ",16000,28000,"Comfortable","Great Lakes",46143,27,23,"Some college","Some college","Dating one person","Mixed","Male","Female",13367894400,36,38,34,"Single"
"153","Professor                             ","Minister                       ",85000,10000,"Struggling","New England",4401,51,50,"Doctorate","MA/MS","Married","Mixed","Male","Female",13361155200,27,19,40,"Married"
"154","student                               ","planner                        ",15000,55000,"Struggling","Pac Coast/Islands",97219,35,35,"Some college","Coll Grad","Married","Mixed","Male","Female",13359081600,30,38,41,"Married"
"155","Cleanroom cleaner                     ","Bank Teller                    ",15000,17000,"Struggling","Pac Coast/Islands",92110,24,24,"Some college","Coll Grad","Married","Mixed","Male","Female",13381113600,36,37,33,"Married"
"156","Consultant                            ","Teacher                        ",150000,50000,"Comfortable","S East",30045,38,37,"Coll Grad","MA/MS","Married","Very unhappy","Male","Female",13367376000,38,26,43,"Married"
"157","software                              ","software                       ",1e+05,90000,"Comfortable","Mid Central",60102,29,32,"MA/MS","MA/MS","Long-term committed","Happy","Male","Female",13350873600,29,20,49,"Single"
"158","Program Manager                       ","Exec Assistance                ",157000,35000,"Comfortable","Mid Atlantic",22192,47,46,"MA/MS","Coll Grad","Married","Mixed","Male","Female",13359427200,32,27,42,"Married"
"159","US Army                               ","Medical Assistant              ",55000,25000,"Struggling","Great Lakes",42223,39,42,"Some college","Some college","Married","Happy","Male","Female",13365734400,35,28,36,"Married"
"160","Finance                               ","Housewife                      ",125000,0,"Comfortable","N Central",55347,52,52,"MA/MS","Coll Grad","Married","Happy","Male","Female",13380595200,48,25,53,"Married"
"161","team leader                           ","supervisor                     ",60000,40000,"Comfortable","Mid Atlantic",28092,33,32,"Some college","Coll Grad","Married","Happy","Male","Female",13370227200,50,31,32,"Married"
"162","IT                                    ","Flight Attendant               ",90000,30000,"Comfortable","S East",30071,29,29,"HS Grad","Some college","Married","Happy","Male","Female",13302748800,41,23,47,"Married"
"163","Trader                                ","project manager                ",85000,83000,"Comfortable","Mid Central",60004,28,27,"MA/MS","MA/MS","Long-term committed","Happy","Male","Female",13384137600,25,30,38,"Single"
"164","Sales                                 ","Homemaker                      ",155000,0,"Comfortable","Pac Coast/Islands",90066,53,43,"MA/MS","Coll Grad","Married","Very happy","Male","Female",13381632000,29,24,49,"Married"
"165","CPA                                   ","Homemaker                      ",1e+05,0,"Comfortable","Mid Central",63109,40,39,"Coll Grad","Some college","Married","Happy","Male","Female",13296268800,22,17,41,"Married"
"166","Engineer                              ","Lawyer                         ",70000,1e+05,"Comfortable","Great Lakes",47978,30,27,"MA/MS","MA/MS","Long-term committed","Very happy","Male","Female",13326595200,28,31,43,"Single"
"167","Teacher                               ","Teacher                        ",30000,10000,"Struggling","S Central",78745,38,36,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13362278400,37,27,39,"Married"
"168","STUDENT                               ","COSMETOLOGIST                  ",15000,65000,"Struggling","N Central",52246,22,22,"Some college","HS Grad","Dating one person","Very happy","Male","Female",13298860800,40,33,44,"Single"
"169","Mechanical Engineer                   ","Homemaker                      ",127000,0,"Comfortable","Pac Coast/Islands",92064,45,45,"Some Grad Sch","Coll Grad","Married","Mixed","Male","Female",13302403200,45,31,37,"Married"
"170","Security Officer                      ","Student                        ",27000,0,"Struggling","S Central",76114,30,26,"Some college","Some college","Married","Happy","Male","Female",13296960000,45,21,52,"Married"
"171","geologist                             ","physical therapist             ",60000,40000,"Struggling","S Central",78664,43,43,"Doctorate","Coll Grad","Married","Mixed","Male","Female",13352601600,33,34,27,"Married"
"172","Engineering                           ","Home Maker                     ",45000,0,"Struggling","Mid Central",67002,28,29,"Coll Grad","Some college","Married","Happy","Male","Female",13352601600,28,25,42,"Married"
"173","Army                                  ","housewife                      ",30000,0,"Comfortable","Mid Central",67207,24,22,"Coll Grad","Some college","Married","Happy","Male","Female",13363488000,26,18,32,"Married"
"174","Psychologist                          ","College Instructor             ",110000,30000,"Comfortable","Pac Coast/Islands",90802,50,55,"Doctorate","Some Grad Sch","Married","Very happy","Male","Female",13388198400,34,26,44,"Married"
"175","Project Manager                       ","Admin. Asst.                   ",75000,32000,"Comfortable","N. East",16024,34,47,"MA/MS","HS Grad","Married","Very happy","Male","Female",13376793600,28,26,57,"Married"
"176","Homemaker                             ","Nurse                          ",12000,39000,"Struggling","Pac Coast/Islands",92154,41,36,"No HS","Coll Grad","Married","Happy","Male","Female",13364179200,36,42,41,"Married"
"177","Paralegal                             ","Sales                          ",30000,30000,"Comfortable","N Central",57401,23,23,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13365907200,36,32,37,"Married"
"178","Government                            ","Government                     ",45000,107000,"Comfortable","Mid Atlantic",25414,27,51,"Coll Grad","Doctorate","Dating one person","Happy","Male","Female",13384742400,31,30,38,"Single"
"179","Digger                                ","Shoveler                       ",1e+05,50000,"Comfortable","Pac Coast/Islands",90210,22,22,"Some college","Some college","Long-term committed","Happy","Male","Female",13330915200,27,32,47,"Single"
"180","Programmer                            ","Nurse                          ",65000,65000,"Struggling","Mid Atlantic",22015,27,27,"Coll Grad","Coll Grad","Married","Very happy","Male","Female",13358044800,25,28,29,"Married"
"181","Engineer                              ","Homemaker                      ",85000,0,"Struggling","New England",6108,38,37,"Doctorate","MA/MS","Married","Happy","Male","Female",13385952000,38,27,30,"Married"
"182","military                              ","manager                        ",40000,30000,"Struggling","S East",31602,24,23,"Some college","HS Grad","Married","Mixed","Male","Female",13311993600,39,27,39,"Married"
"183","Administration                        ","Homemaker                      ",115000,0,"Comfortable","N. East",15213,26,25,"MA/MS","Coll Grad","Married","Very happy","Male","Female",13358563200,38,17,40,"Married"
"184","Writer                                ","Billing                        ",52000,15000,"Comfortable","New England",2726,32,31,"Some college","Some college","Married","Very happy","Male","Female",13385779200,25,21,43,"Married"
"185","Counselor                             ","Teacher                        ",20000,30000,"Comfortable","S East",39765,25,22,"Coll Grad","Coll Grad","Long-term committed","Happy","Male","Female",13362796800,24,39,39,"Single"
"186","Teacher                               ","Child Care                     ",64000,10800,"Struggling","Great Lakes",48239,30,23,"MA/MS","Some college","Married","Very happy","Male","Female",13329532800,24,14,28,"Married"
"187","electrician                           ","medical auditor                ",60000,55000,"Comfortable","Pac Coast/Islands",95356,31,30,"No HS","Some college","Married","Very happy","Male","Female",13385088000,23,27,34,"Married"
"188","Entrepreneur                          ","Salesperson                    ",20000,15000,"Struggling","Great Lakes",44053,24,23,"Coll Grad","Coll Grad","Dating one person","Very unhappy","Male","Female",13358649600,32,27,52,"Single"
"189","Soldier                               ","Retired                        ",60000,16000,"Comfortable","N Central",57005,39,41,"Some Grad Sch","MA/MS","Long-term committed","Very happy","Male","Female",13301193600,18,31,38,"Single"
"190","Writer                                ","Writer                         ",60000,40000,"Comfortable","N. East",10002,27,31,"Some Grad Sch","Coll Grad","Married","Very happy","Male","Female",13371609600,33,30,33,"Married"
"191","Student                               ","Stude t                        ",25000,35000,"Struggling","Great Lakes",46226,28,30,"Some college","Coll Grad","Married","Happy","Male","Female",13364006400,19,32,35,"Married"
"192","Mechanical Engineer                   ","Business Owner                 ",72000,50000,"Comfortable","Pac Coast/Islands",93001,28,33,"Coll Grad","HS Grad","Long-term committed","Very happy","Male","Female",13297824000,24,21,28,"Single"
"193","Military                              ","Medical Assitant               ",40000,20000,"Struggling","Mid Atlantic",21046,24,26,"HS Grad","HS Grad","Dating several people","Very happy","Male","Female",13373164800,19,28,34,"Single"
"194","counselor                             ","teacher                        ",29000,65000,"Comfortable","Pac Coast/Islands",92243,27,36,"Some college","MA/MS","Long-term committed","Happy","Male","Female",13365993600,50,51,15,"Single"
"195","teacher                               ","teacher                        ",30000,28000,"Struggling","Great Lakes",44325,40,40,"MA/MS","MA/MS","Married","Happy","Male","Female",13367808000,31,36,33,"Married"
"196","Analyst                               ","Veterinarian                   ",45000,40000,"Struggling","New England",3038,32,32,"Coll Grad","Doctorate","Married","Mixed","Male","Female",13359513600,34,29,40,"Married"
"197","data coordinator                      ","cna                            ",30000,18000,"Struggling","Great Lakes",48210,47,36,"MA/MS","Some college","Married","Mixed","Male","Female",13363920000,19,19,39,"Married"
"198","human resources                       ","dental assistance              ",1e+05,20000,"Comfortable","N Central",51106,37,36,"Coll Grad","Coll Grad","Married","Very happy","Male","Female",13295318400,28,25,45,"Married"
"199","student                               ","student                        ",5000,45000,"Struggling","S Central",71360,22,22,"MA/MS","Coll Grad","Dating one person","Happy","Male","Female",13310784000,19,20,42,"Single"
"200","electonics technician                 ","accountant                     ",50000,39000,"Comfortable","Mid Atlantic",26505,26,23,"Some college","MA/MS","Long-term committed","Mixed","Male","Female",13360118400,43,31,30,"Single"
"201","Trainer                               ","Manager                        ",48000,48000,"Comfortable","S East",30022,40,57,"Some Grad Sch","Some college","Married","Mixed","Female","Male",13357872000,25,38,42,"Married"
"202","BUSINESS OWNER                        ","SUPERVISOR                     ",30000,40000,"Comfortable","S East",37343,39,51,"Coll Grad","HS Grad","Long-term committed","Very happy","Female","Male",13369017600,26,35,34,"Single"
"203","Nursing                               ","Management                     ",43000,40000,"Comfortable","Great Lakes",46250,22,24,"Coll Grad","Coll Grad","Long-term committed","Very happy","Female","Male",13363920000,28,32,28,"Single"
"204","Counselor                             ","Director                       ",25000,24000,"Comfortable","S Central",78613,22,21,"Some college","HS Grad","Married","Happy","Female","Male",13357958400,30,34,30,"Married"
"205","homemaker                             ","engeneer                       ",0,125000,"Comfortable","Mid Central",60504,27,34,"Some college","Coll Grad","Married","Very happy","Female","Male",13382841600,35,34,41,"Married"
"206","receptionist                          ","car painter                    ",24000,24000,"Struggling","Pac Coast/Islands",97205,27,27,"Coll Grad","No HS","Dating one person","Mixed","Female","Male",13315968000,31,41,41,"Single"
"207","teacher                               ","factory worker                 ",30000,20000,"Struggling","Mid Atlantic",29730,22,24,"Coll Grad","Coll Grad","Long-term committed","Very unhappy","Female","Male",13386556800,36,39,18,"Single"
"208","Analyst                               ","Navy                           ",57000,17000,"Struggling","S Central",75038,27,28,"Coll Grad","Some college","Dating one person","Mixed","Female","Male",13338864000,17,22,37,"Single"
"209","nurse                                 ","process tech.                  ",28000,51000,"Struggling","N. East",17948,42,42,"Some college","No HS","Married","Mixed","Female","Male",13384656000,51,34,31,"Married"
"210","social work                           ","supervisor                     ",30000,13000,"Struggling","N. East",10475,28,36,"Some Grad Sch","Some college","Married","Very unhappy","Female","Male",13367721600,32,25,43,"Married"
"211","Professor                             ","Accountant                     ",45000,45000,"Comfortable","Mid Atlantic",29170,35,35,"Doctorate","MA/MS","Married","Happy","Female","Male",13372387200,22,28,26,"Married"
"212","bakery worker                         ","factory worker                 ",10000,30000,"Struggling","Great Lakes",49426,53,63,"HS Grad","HS Grad","Married","Happy","Female","Male",13357699200,28,34,19,"Married"
"213","Manager Admin Svcs                    ","Unemployed                     ",43000,0,"Struggling","S Central",78230,51,53,"Coll Grad","Some college","Long-term committed","Mixed","Female","Male",13297564800,30,23,28,"Single"
"214","investments                           ","auto repair                    ",20000,50000,"Struggling","S East",33433,51,48,"MA/MS","Some college","Dating one person","Mixed","Female","Male",13344480000,50,34,53,"Single"
"215","Human Resources Coordinator           ","Youth Pastor                   ",31200,30000,"Comfortable","Pac Coast/Islands",90650,23,25,"Coll Grad","Some Grad Sch","Married","Very happy","Female","Male",13365475200,32,21,15,"Married"
"216","Student                               ","Officer US Air Force           ",0,47000,"Comfortable","Mid West",88330,29,29,"Some college","Coll Grad","Married","Very unhappy","Female","Male",13300156800,24,31,40,"Married"
"217","BILLING CLERK                         ","LABORER                        ",24000,24000,"Struggling","S East",36273,34,38,"Some college","HS Grad","Married","Very happy","Female","Male",13370745600,19,30,18,"Married"
"218","teacher                               ","computer tech                  ",45000,12000,"Struggling","Mid Central",60477,28,28,"Coll Grad","Some college","Long-term committed","Happy","Female","Male",13366425600,38,26,28,"Single"
"219","student                               ","student                        ",7000,7000,"Struggling","Mid West",83705,36,36,"Some Grad Sch","Coll Grad","Married","Mixed","Female","Male",13329964800,18,32,41,"Married"
"220","Financial Analyst                     ","Teacher                        ",40000,38000,"Struggling","Great Lakes",48185,29,32,"MA/MS","MA/MS","Married","Very happy","Female","Male",13367808000,37,26,42,"Married"
"221","Teacher                               ","Clerical Work                  ",35000,12000,"Comfortable","Pac Coast/Islands",97301,28,24,"MA/MS","HS Grad","Long-term committed","Very happy","Female","Male",13377312000,32,39,38,"Single"
"222","interior designer                     ","laborer                        ",15000,25000,"Struggling","Pac Coast/Islands",95965,35,38,"Some college","No HS","Married","Mixed","Female","Male",13365734400,33,31,43,"Married"
"223","student                               ","chemist                        ",6000,42000,"Comfortable","N. East",18018,21,27,"Some college","Some college","Married","Mixed","Female","Male",13359772800,29,33,45,"Married"
"224","service coordinator                   ","car salesman                   ",21600,35000,"Struggling","S Central",77066,25,20,"Some college","Some college","Married","Mixed","Female","Male",13375065600,35,39,42,"Married"
"225","counselor                             ","teacher's aide                 ",36000,12000,"Struggling","S East",36117,42,39,"MA/MS","MA/MS","Married","Very happy","Female","Male",13326681600,33,24,34,"Married"
"226","Management Engineer                   ","Professor                      ",70000,112000,"Comfortable","S East",32224,42,37,"MA/MS","Doctorate","Married","Very happy","Female","Male",13388544000,30,31,43,"Married"
"227","supervisor                            ","management                     ",35000,95000,"Comfortable","Mid Central",66109,38,50,"Some college","Coll Grad","Long-term committed","Happy","Female","Male",13382582400,25,26,34,"Single"
"228","Administrator                         ","Machine Operator               ",44000,28000,"Struggling","Mid Atlantic",22908,48,52,"Some college","No HS","Married","Unhappy","Female","Male",13347590400,29,22,31,"Married"
"229","Advertising                           ","Graphic Design                 ",52000,30000,"Struggling","S Central",73071,30,34,"Some college","Coll Grad","Married","Unhappy","Female","Male",13377916800,38,27,52,"Married"
"230","Unemployed                            ","Unemployed                     ",0,0,"Struggling","Pac Coast/Islands",98045,37,41,"HS Grad","HS Grad","Dating one person","Mixed","Female","Male",13319424000,22,34,43,"Single"
"231","video producer                        ","magazine editor                ",30000,85000,"Struggling","Pac Coast/Islands",94114,43,39,"Some Grad Sch","Coll Grad","Long-term committed","Happy","Female","Male",13327113600,37,51,43,"Single"
"232","program manager                       ","aircraft mechanic              ",40000,60000,"Struggling","S East",32720,49,52,"MA/MS","HS Grad","Long-term committed","Mixed","Female","Male",13295836800,35,38,36,"Single"
"233","homemaker                             ","HVAC Tech                      ",0,20000,"Struggling","Mid West",81008,23,29,"Some college","Coll Grad","Married","Mixed","Female","Male",13374115200,39,27,17,"Married"
"234","Consultant/Post-grad student          ","Business Administrator         ",40000,60000,"Comfortable","N Central",55746,48,48,"MA/MS","Some college","Married","Happy","Female","Male",13324176000,35,21,42,"Married"
"235","graduate student                      ","graduate student               ",15000,30000,"Comfortable","S Central",74074,31,38,"Doctorate","MA/MS","Married","Very happy","Female","Male",13340937600,17,31,25,"Married"
"236","Paralegal                             ","Sign technician                ",89000,75000,"Struggling","N. East",10017,50,42,"Coll Grad","HS Grad","Married","Mixed","Female","Male",13343702400,43,34,44,"Married"
"237","angie                                 ","randy                          ",35000,10000,"Struggling","N Central",55124,31,35,"Some college","Some college","Long-term committed","Happy","Female","Male",13316918400,33,32,34,"Single"
"238","Student                               ","Student/Sales Consultant       ",5000,29000,"Comfortable","S East",31216,21,26,"Some college","Some college","Long-term committed","Very happy","Female","Male",13350355200,37,31,31,"Single"
"239","Technology Consultant                 ","Insurance account executive    ",40000,40000,"Struggling","Mid Central",66604,43,40,"Coll Grad","Coll Grad","Long-term committed","Happy","Female","Male",13386556800,32,33,41,"Single"
"240","SECRETARY                             ","EXECUTIVE                      ",25200,36000,"Comfortable","Mid Atlantic",25252,28,28,"Some Grad Sch","Some Grad Sch","Married","Happy","Female","Male",13379385600,31,34,30,"Married"
"241","Teacher                               ","Teacher                        ",33000,33000,"Struggling","Mid Atlantic",23805,23,24,"Some Grad Sch","Coll Grad","Long-term committed","Very happy","Female","Male",13318300800,32,39,23,"Single"
"242","accountant                            ","builder                        ",80000,80000,"Struggling","Mid Atlantic",22315,41,44,"Coll Grad","Some college","Long-term committed","Happy","Female","Male",13373942400,20,26,28,"Single"
"243","police                                ","machinist                      ",60000,50000,"Struggling","N. East",14220,38,40,"Coll Grad","Some college","Married","Happy","Female","Male",13377312000,32,33,28,"Married"
"244","Teacher                               ","Machine Operator               ",38000,30000,"Comfortable","Mid West",85345,26,28,"MA/MS","No HS","Dating one person","Very happy","Female","Male",13373251200,29,32,30,"Single"
"245","Clerical                              ","Student                        ",18000,8000,"Struggling","Mid Central",65203,23,28,"Some college","Coll Grad","Married","Happy","Female","Male",13327459200,35,26,31,"Married"
"246","Part time Insurance Agent             ","Moldmaker                      ",4800,45000,"Struggling","Mid Central",60193,28,30,"Some college","Some college","Long-term committed","Very happy","Female","Male",13297824000,27,35,32,"Single"
"247","student                               ","security guard                 ",4000,25000,"Struggling","S Central",76114,27,30,"Some college","Some college","Married","Happy","Female","Male",13296960000,40,34,33,"Married"
"248","sales                                 ","sales                          ",10000,10000,"Struggling","New England",7652,44,45,"Coll Grad","Some college","Married","Happy","Female","Male",13298688000,24,28,31,"Married"
"249","Student                               ","Student                        ",1500,1200,"Comfortable","Pac Coast/Islands",99163,21,21,"Some college","Some college","Long-term committed","Very happy","Female","Male",13367894400,39,24,28,"Single"
"250","social worker                         ","barber                         ",37000,40000,"Struggling","S East",37013,33,31,"MA/MS","Some college","Dating one person","Mixed","Female","Male",13321152000,45,48,43,"Single"
"251","teacher                               ","supervisor                     ",33000,50000,"Comfortable","Mid West",85714,26,30,"MA/MS","HS Grad","Married","Very happy","Female","Male",13366252800,29,27,31,"Married"
"252","data entry                            ","warehouse manager              ",27300,39000,"Comfortable","N. East",12180,28,28,"Some college","Coll Grad","Long-term committed","Happy","Female","Male",13361932800,31,33,35,"Single"
"253","sales                                 ","hand on                        ",25000,15000,"Comfortable","S East",36203,27,25,"HS Grad","HS Grad","Married","Happy","Female","Male",13361414400,31,22,41,"Married"
"254","banker                                ","computer tech                  ",50000,70000,"Comfortable","S Central",79936,24,32,"Coll Grad","Some college","Married","Mixed","Female","Male",13383878400,35,34,25,"Married"
"255","Property Mgmt.                        ","Self employed                  ",39000,50000,"Struggling","Mid West",80229,37,49,"Coll Grad","HS Grad","Dating one person","Mixed","Female","Male",13318473600,33,35,30,"Single"
"256","Disabled                              ","P. E. Teacher                  ",0,33000,"Struggling","Mid Atlantic",27893,33,33,"HS Grad","Coll Grad","Married","Unhappy","Female","Male",13341110400,25,42,26,"Married"
"257","Computer Tech                         ","Artist                         ",42000,15000,"Comfortable","Great Lakes",40211,27,25,"Some college","Some college","Dating one person","Happy","Female","Male",13379212800,20,20,23,"Single"
"258","retired professor                     ","Retired professor              ",1e+05,1e+05,"Comfortable","Pac Coast/Islands",92931,62,79,"Doctorate","Doctorate","Married","Very happy","Female","Male",13345948800,27,27,35,"Married"
"259","SELF EMPLOYED                         ","OFFICE MGR                     ",140000,32000,"Comfortable","Great Lakes",46845,39,42,"Coll Grad","Some college","Married","Mixed","Female","Male",13332729600,20,14,46,"Married"
"260","Administrative Assistant              ","Contractor                     ",13000,20000,"Comfortable","N Central",53110,29,44,"Some college","HS Grad","Dating one person","Happy","Female","Male",13380336000,34,37,26,"Single"
"261","Instuctor                             ","Manager                        ",15000,1e+05,"Comfortable","N Central",54880,40,40,"MA/MS","Coll Grad","Married","Very happy","Female","Male",13364697600,40,43,37,"Married"
"262","receptionist                          ","musitian                       ",12000,12000,"Struggling","N. East",10017,25,42,"Coll Grad","No HS","Married","Unhappy","Female","Male",13345603200,41,35,48,"Married"
"263","project manager                       ","trader                         ",75000,75000,"Comfortable","N. East",10025,27,28,"MA/MS","MA/MS","Long-term committed","Happy","Female","Male",13384137600,40,42,25,"Single"
"264","Engineer                              ","Engineer                       ",75000,75000,"Comfortable","Mid Atlantic",28216,30,39,"MA/MS","Some college","Married","Very happy","Female","Male",13362624000,14,24,47,"Married"
"265","nursing assistant                     ","counter sales                  ",20000,30000,"Struggling","N. East",17404,24,31,"Some college","HS Grad","Married","Happy","Female","Male",13359168000,34,29,38,"Married"
"266","Author / Musician                     ","Painter / Musician             ",0,0,"Comfortable","S East",30188,45,43,"MA/MS","Some college","Dating several people","Mixed","Female","Male",13297132800,24,28,41,"Single"
"267","Student                               ","Student                        ",5000,0,"Struggling","Mid Central",60187,21,22,"Some college","Some college","Long-term committed","Happy","Female","Male",13362537600,33,34,20,"Single"
"268","Student                               ","Police Officer                 ",103000,27500,"Comfortable","Mid Atlantic",27316,47,48,"Coll Grad","Some college","Married","Happy","Female","Male",13358304000,25,27,40,"Married"
"269","design                                ","programmer                     ",40000,90000,"Comfortable","Pac Coast/Islands",92126,31,35,"Coll Grad","Coll Grad","Long-term committed","Happy","Female","Male",13363488000,24,36,16,"Single"
"270","Musician                              ","Musician                       ",14000,14000,"Comfortable","Mid Central",60608,26,32,"MA/MS","Some college","Long-term committed","Very happy","Female","Male",13299897600,32,23,20,"Single"
"271","case manager                          ","swim coach                     ",34000,24000,"Struggling","New England",4530,24,27,"Coll Grad","Some college","Married","Very happy","Female","Male",13346035200,35,35,35,"Married"
"272","teacher                               ","artist/driver                  ",11000,40000,"Comfortable","Mid Central",66872,49,47,"Doctorate","Some college","Married","Happy","Female","Male",13383964800,26,35,22,"Married"
"273","social worker                         ","truck driver                   ",30000,60000,"Comfortable","S East",37013,44,42,"Some Grad Sch","Some college","Married","Happy","Female","Male",13309833600,47,44,38,"Married"
"274","homemaker                             ","inventor                       ",0,150000,"Comfortable","Mid Central",60002,42,36,"Coll Grad","Coll Grad","Married","Happy","Female","Male",13302403200,33,37,38,"Married"
"275","retail                                ","artist                         ",75000,10000,"Comfortable","Mid West",87124,58,51,"Some college","Some college","Long-term committed","Mixed","Female","Male",13384828800,27,18,48,"Single"
"276","Psychologist                          ","Surfer                         ",40000,40000,"Comfortable","New England",62,29,28,"MA/MS","Some Grad Sch","Dating one person","Happy","Female","Male",13297305600,23,35,33,"Single"
"277","Student                               ","Student                        ",4000,5500,"Comfortable","Mid Central",60615,21,20,"Some college","Some college","Long-term committed","Very happy","Female","Male",13384224000,26,33,41,"Single"
"278","Marketing Associate                   ","Paralegal                      ",28800,28000,"Comfortable","Pac Coast/Islands",93101,23,22,"Coll Grad","Coll Grad","Long-term committed","Very happy","Female","Male",13336185600,31,38,40,"Single"
"279","tester                                ","night auditor                  ",1e+05,30000,"Comfortable","Mid Atlantic",29706,54,54,"Coll Grad","Coll Grad","Married","Mixed","Female","Male",13377657600,32,26,46,"Married"
"280","Student                               ","Insurance Sales                ",0,50000,"Comfortable","New England",2493,21,26,"Some college","Coll Grad","Dating one person","Mixed","Female","Male",13350268800,41,43,41,"Single"
"281","1 on 1 aide                           ","fed ex                         ",30000,35000,"Struggling","New England",8330,22,24,"Some college","Some college","Long-term committed","Happy","Female","Male",13358304000,33,35,32,"Single"
"282","Peace Corps                           ","Doctor                         ",25000,40000,"Comfortable","N Central",56589,24,26,"HS Grad","Doctorate","Long-term committed","Very happy","Female","Male",13314412800,19,33,35,"Single"
"283","teacher                               ","manager                        ",28000,90000,"Comfortable","New England",8844,41,46,"Coll Grad","Coll Grad","Married","Mixed","Female","Male",13373510400,33,31,30,"Married"
"284","teaching assistant                    ","car detailer                   ",12000,17000,"Comfortable","S East",37923,32,41,"Some college","HS Grad","Married","Mixed","Female","Male",13361068800,35,40,40,"Married"
"285","Student                               ","Technology                     ",5000,55000,"Comfortable","S East",30033,21,23,"Some college","Coll Grad","Dating several people","Happy","Female","Male",13364006400,34,37,48,"Single"
"286","Administrative Assistant              ","Military                       ",24000,30000,"Comfortable","Mid West",85340,26,23,"Some college","Coll Grad","Married","Mixed","Female","Male",13350182400,24,35,31,"Married"
"287","Success Coach                         ","Sales                          ",40000,40000,"Comfortable","Pac Coast/Islands",92109,38,51,"Some college","MA/MS","Married","Mixed","Female","Male",13319769600,31,37,46,"Married"
"288","home maker                            ","electrician                    ",0,35000,"Struggling","Pac Coast/Islands",94127,32,47,"Some college","HS Grad","Long-term committed","Mixed","Female","Male",13311993600,33,48,27,"Single"
"289","CLAIMS ADJUSTER                       ","ELECTRICIAN                    ",22000,30000,"Struggling","Pac Coast/Islands",92139,24,23,"Some college","Some college","Dating one person","Happy","Female","Male",13378780800,30,29,27,"Single"
"290","teacher                               ","unemployed                     ",50000,20000,"Comfortable","New England",2007,29,27,"Coll Grad","Coll Grad","Dating one person","Mixed","Female","Male",13381804800,30,34,31,"Single"
"291","student                               ","cnc machinist                  ",0,35000,"Struggling","Great Lakes",44102,22,23,"Some college","Coll Grad","Long-term committed","Very happy","Female","Male",13368326400,24,49,22,"Single"
"292","Produce Manager                       ","Student                        ",20000,0,"Comfortable","Mid Central",61802,29,56,"Coll Grad","Coll Grad","Long-term committed","Happy","Female","Male",13360377600,25,31,35,"Single"
"293","office worker                         ","chef                           ",20000,31000,"Struggling","Mid Atlantic",23832,25,28,"Some college","Coll Grad","Long-term committed","Happy","Female","Male",13377398400,39,38,37,"Single"
"294","biologist                             ","driver                         ",16000,24000,"Struggling","Pac Coast/Islands",98103,39,32,"MA/MS","Coll Grad","Dating one person","Very happy","Female","Male",13342320000,29,37,27,"Single"
"295","Administrative Assistant              ","Drywall                        ",32500,34000,"Comfortable","Pac Coast/Islands",98684,25,26,"HS Grad","HS Grad","Married","Very happy","Female","Male",13378694400,30,33,26,"Married"
"296","Professor                             ","Consultant                     ",50000,1e+05,"Comfortable","Pac Coast/Islands",95603,49,55,"Doctorate","MA/MS","Married","Happy","Female","Male",13362019200,33,38,35,"Married"
"297","sales                                 ","accountant                     ",28000,55000,"Struggling","S East",37167,47,51,"HS Grad","Coll Grad","Dating one person","Happy","Female","Male",13299465600,27,31,37,"Single"
"298","Freelance Writer                      ","Software Engineer              ",37000,120000,"Comfortable","N. East",10002,25,30,"Coll Grad","Doctorate","Married","Very happy","Female","Male",13362364800,22,31,44,"Married"
"299","student                               ","sales                          ",14000,30000,"Struggling","S East",37043,24,24,"Some college","Some college","Long-term committed","Happy","Female","Male",13365993600,17,19,38,"Single"
"300","Customer Service Rep                  ","Unemployed                     ",27596,0,"Struggling","Mid Central",68005,25,27,"HS Grad","No HS","Dating one person","Mixed","Female","Male",13364870400,35,23,33,"Single"
"301","receptionist                          ","videographer                   ",10000,12000,"Struggling","Pac Coast/Islands",96940,37,37,"HS Grad","HS Grad","Married","Happy","Female","Male",13378608000,24,29,39,"Married"
"302","Federal Investigator                  ","Police Officer                 ",77000,42000,"Struggling","Mid Atlantic",22152,30,29,"Coll Grad","Some college","Long-term committed","Very happy","Female","Male",13359427200,34,29,33,"Single"
"303","nurse                                 ","accountant                     ",40000,40000,"Comfortable","Pac Coast/Islands",98321,47,48,"Some college","HS Grad","Married","Unhappy","Female","Male",13369536000,32,30,30,"Married"
"304","Associate Accountant                  ","Architect                      ",38000,42600,"Struggling","S Central",77007,32,29,"Some college","Coll Grad","Married","Very happy","Female","Male",13359772800,20,26,29,"Married"
"305","Event Planner                         ","Barber                         ",19000,30000,"Struggling","Mid Central",64030,29,31,"Some college","HS Grad","Dating one person","Happy","Female","Male",13384915200,31,38,46,"Single"
"306","mom                                   ","volunteer                      ",0,15600,"Struggling","Pac Coast/Islands",98103,35,57,"Coll Grad","Coll Grad","Married","Happy","Female","Male",13342838400,46,32,45,"Married"
"307","Park Ranger                           ","Park Ranger                    ",47000,55000,"Comfortable","Mid West",89060,32,36,"Coll Grad","Coll Grad","Married","Very happy","Female","Male",13387248000,22,39,37,"Married"
